,date,municipality,state,highestsize,minsize,avgsize,violent_protest,curfew_protest,property_damage_protest,police_protest,countlove,wiki,ipsos
1520,2020-06-01,Pensacola,Florida,NA,NA,NA,NA,NA,NA,NA,1,0,0
1521,2020-06-01,Petoskey,Michigan,100,100,100,NA,NA,NA,NA,1,0,0
1522,2020-06-01,Philadelphia,Pennsylvania,1000,100,550,1,1,0,1,1,1,1
1523,2020-06-01,Phoenix,Arizona,200,200,200,0,1,0,0,1,0,1
1524,2020-06-01,Picayune,Mississippi,NA,NA,NA,NA,NA,NA,NA,1,0,0
1525,2020-06-01,Pickens,SouthCarolina,30,30,30,NA,NA,NA,NA,1,0,0
1526,2020-06-01,Pierre,SouthDakota,NA,NA,NA,NA,NA,NA,NA,1,0,0
1527,2020-06-01,Pittsburgh,Pennsylvania,1000,1000,1000,0,0,0,0,1,1,1
1528,2020-06-01,Pocatello,Idaho,20,20,20,NA,NA,NA,NA,1,0,0
1529,2020-06-01,Portage,Indiana,200,200,200,0,0,0,0,1,0,1
1530,2020-06-01,PortJeffersonStation,NewYork,1000,1000,1000,0,0,0,0,0,1,0
1531,2020-06-01,PortJeffStation,NewYork,NA,NA,NA,0,0,0,0,0,0,1
1532,2020-06-01,Portland,Maine,3500,1000,2250,1,0,1,0,1,1,1
1533,2020-06-01,Portland,Oregon,1000,1000,1000,1,0,0,0,0,1,0
1534,2020-06-01,Potsdam,NewYork,100,100,100,NA,NA,NA,NA,1,0,0
1535,2020-06-01,Pottstown,Pennsylvania,NA,NA,NA,0,0,0,0,0,1,0
1536,2020-06-01,Poughkeepsie,NewYork,250,1000,625,0,0,0,0,1,1,0
1537,2020-06-01,Providence,RhodeIsland,300,1000,650,1,0,1,0,1,1,1
1538,2020-06-01,Pueblo,Colorado,400,400,400,0,0,0,0,0,1,1
1539,2020-06-01,Punxsutawney,Pennsylvania,NA,NA,NA,0,0,0,0,0,1,1
1540,2020-06-01,Queens,NewYork,NA,NA,NA,1,1,1,1,1,0,1
1541,2020-06-01,Racine,Wisconsin,NA,NA,NA,NA,NA,NA,NA,1,0,0
1542,2020-06-01,Raleigh,NorthCarolina,200,200,200,NA,NA,NA,NA,1,0,0
1543,2020-06-01,Ramona,California,NA,NA,NA,0,0,0,0,0,1,0
1544,2020-06-01,RanchoPalosVerdes,California,150,150,150,0,0,0,0,0,1,0
1545,2020-06-01,RapidCity,SouthDakota,100,100,100,NA,NA,NA,NA,1,0,0
1546,2020-06-01,Ravenna,Ohio,40,40,40,0,0,0,0,1,1,0
1547,2020-06-01,Reading,Pennsylvania,100,100,100,0,0,0,0,0,1,1
1548,2020-06-01,RedBluff,California,100,100,100,0,0,0,0,1,1,0
1549,2020-06-01,RehobothBeach,Delaware,50,50,50,0,0,0,0,1,1,0
1550,2020-06-01,Reidsville,NorthCarolina,100,100,100,NA,NA,NA,NA,1,0,0
1551,2020-06-01,Renton,Washington,200,200,200,0,0,0,0,1,1,0
1552,2020-06-01,Richmond,Virginia,1000,200,600,1,1,1,1,1,1,1
1553,2020-06-01,Ridgecrest,California,65,65,65,0,0,0,0,0,1,0
1554,2020-06-01,RioGrande,NewJersey,NA,NA,NA,0,0,0,0,1,1,0
1555,2020-06-01,Riverside,California,4000,4000,4000,NA,NA,NA,NA,1,0,0
1556,2020-06-01,Riverton,Wyoming,NA,NA,NA,0,0,0,0,0,0,1
1557,2020-06-01,Roanoke,Virginia,NA,NA,NA,NA,NA,NA,NA,1,0,0
1558,2020-06-01,Rochester,NewYork,NA,NA,NA,0,0,0,0,0,0,1
1559,2020-06-01,Rockland,Maine,100,100,100,NA,NA,NA,NA,1,0,0
1560,2020-06-01,Roswell,NewMexico,100,100,100,0,0,0,0,1,0,1
1561,2020-06-01,RoyalOak,Michigan,NA,NA,NA,NA,NA,NA,NA,1,0,0
1562,2020-06-01,Rutland,Vermont,NA,NA,NA,NA,NA,NA,NA,1,0,0
1563,2020-06-01,Sacramento,California,650,1000,825,0,1,0,0,1,1,1
1564,2020-06-01,Saginaw,Michigan,NA,NA,NA,0,0,0,0,0,1,1
1565,2020-06-01,SaintCharles,Illinois,NA,NA,NA,0,0,0,0,0,0,1
1566,2020-06-01,Salinas,California,200,200,200,0,0,0,0,1,1,0
1567,2020-06-01,Salisbury,Maryland,NA,NA,NA,0,0,0,0,0,0,1
1568,2020-06-01,Salisbury,NorthCarolina,200,200,200,NA,NA,NA,NA,1,0,0
1569,2020-06-01,SaltLakeCity,Utah,1000,1000,1000,NA,NA,NA,NA,1,0,0
1570,2020-06-01,SanAntonio,Texas,40,40,40,NA,NA,NA,NA,1,0,0
1571,2020-06-01,SanClemente,California,500,500,500,0,0,0,0,0,1,0
1572,2020-06-01,SanDiego,California,100,100,100,1,0,1,1,1,1,1
1573,2020-06-01,Sandusky,Ohio,1500,1500,1500,0,0,0,0,0,1,1
1574,2020-06-01,SanFrancisco,California,1000,1000,1000,NA,NA,NA,NA,1,0,0
1575,2020-06-01,SanFranciscoPeninsula,California,150,150,150,1,0,0,0,0,1,0
1576,2020-06-01,SanJose,California,500,500,500,NA,NA,NA,NA,1,0,0
1577,2020-06-01,SanLeandro,California,NA,NA,NA,0,0,1,0,0,1,0
1578,2020-06-01,SanLuisObispo,California,100,100,100,1,0,0,0,1,1,0
1579,2020-06-01,SantaRosa,California,NA,NA,NA,NA,NA,NA,NA,1,0,0
1580,2020-06-01,Santee,California,NA,NA,NA,NA,NA,NA,NA,1,0,0
1581,2020-06-01,Sarasota,Florida,NA,NA,NA,0,0,0,0,1,0,1
1582,2020-06-01,SaultSte.Marie,Michigan,200,200,200,0,0,0,0,0,1,0
1583,2020-06-01,Savannah,Georgia,NA,NA,NA,NA,NA,NA,NA,1,0,0
1584,2020-06-01,Schaumburg,Illinois,NA,NA,NA,0,0,0,0,0,1,0
1585,2020-06-01,Seattle,Washington,200,200,200,1,1,1,1,1,1,0
1586,2020-06-01,Shamokin,Pennsylvania,25,25,25,NA,NA,NA,NA,1,0,0
1587,2020-06-01,Shirley,NewYork,100,100,100,0,0,0,0,1,1,1
1588,2020-06-01,Shreveport,Louisiana,100,100,100,NA,NA,NA,NA,1,0,0
1589,2020-06-01,Shrewsbury,Massachusetts,40,40,40,NA,NA,NA,NA,1,0,0
1590,2020-06-01,SiouxCity,Iowa,NA,NA,NA,1,0,1,1,0,0,1
1591,2020-06-01,Sitka,Alaska,250,250,250,0,0,0,0,1,1,0
1592,2020-06-01,Snohomish,Washington,NA,NA,NA,1,0,0,0,0,1,0
1593,2020-06-01,Southington,Connecticuticut,200,200,200,NA,NA,NA,NA,1,0,0
1594,2020-06-01,Spartanburg,SouthCarolina,NA,NA,NA,0,0,0,0,0,0,1
1595,2020-06-01,Spokane,Washington,NA,NA,NA,NA,NA,NA,NA,1,0,0
1596,2020-06-01,Springfield,Illinois,1000,1000,1000,0,0,0,0,1,1,1
1597,2020-06-01,Springfield,Ohio,NA,NA,NA,0,1,0,0,0,1,0
1598,2020-06-01,St.Augustine,Florida,100,100,100,NA,NA,NA,NA,1,0,0
1599,2020-06-01,St.Louis,Missouri,2000,2000,2000,NA,NA,NA,NA,1,0,0
1600,2020-06-01,St.Paul,Minnesota,2000,2000,2000,NA,NA,NA,NA,1,0,0
1601,2020-06-01,St.Petersburg,Florida,150,150,150,NA,NA,NA,NA,1,0,0
1602,2020-06-01,Stanwood,Washington,NA,NA,NA,0,0,0,0,0,1,0
1603,2020-06-01,StatenIsland,NewYork,10,10,10,0,1,0,0,1,0,1
1604,2020-06-01,Statesville,NorthCarolina,70,70,70,NA,NA,NA,NA,1,0,0
1605,2020-06-01,StAugustine,Florida,NA,NA,NA,0,0,0,0,0,0,1
1606,2020-06-01,Stockton,California,500,500,500,0,0,0,0,1,1,0
1607,2020-06-01,Streator,Illinois,NA,NA,NA,NA,NA,NA,NA,1,0,0
1608,2020-06-01,Suffolk,Virginia,140,140,140,0,0,0,0,0,1,0
1609,2020-06-01,Summerville,SouthCarolina,300,300,300,0,0,0,0,1,0,1
1610,2020-06-01,Sumter,SouthCarolina,NA,NA,NA,NA,NA,NA,NA,1,0,0
1611,2020-06-01,Sunbury,Pennsylvania,100,100,100,NA,NA,NA,NA,1,0,0
1612,2020-06-01,Syracuse,NewYork,NA,NA,NA,0,0,0,0,0,0,1
1613,2020-06-01,Tacoma,Washington,1000,1000,1000,NA,NA,NA,NA,1,0,0
1614,2020-06-01,Tallahassee,Florida,50,50,50,0,0,0,0,1,0,1
1615,2020-06-01,Tampa,Florida,NA,NA,NA,0,0,0,0,0,0,1
1616,2020-06-01,TerreHaute,Indiana,NA,NA,NA,NA,NA,NA,NA,1,0,0
1617,2020-06-01,Topeka,Kansas,200,200,200,NA,NA,NA,NA,1,0,0
1618,2020-06-01,Troy,Michigan,100,100,100,1,0,0,0,0,1,0
1619,2020-06-01,Troy,Ohio,200,200,200,NA,NA,NA,NA,1,0,0
1620,2020-06-01,Tucson,Arizona,15,15,15,NA,NA,NA,NA,1,0,0
1621,2020-06-01,Tulsa,Oklahoma,NA,NA,NA,1,0,0,1,1,0,1
1622,2020-06-01,Tuscumbia,Alabama,NA,NA,NA,NA,NA,NA,NA,1,0,0
1623,2020-06-01,Tyler,Texas,NA,NA,NA,0,0,0,0,1,0,1
1624,2020-06-01,Upland,California,100,100,100,1,0,0,1,1,1,0
1625,2020-06-01,Urbana,Illinois,1000,1000,1000,NA,NA,NA,NA,1,0,0
1626,2020-06-01,Vacaville,California,500,100,300,0,0,0,0,1,1,0
1627,2020-06-01,Valdosta,Georgia,NA,NA,NA,0,0,0,1,0,0,1
1628,2020-06-01,Valencia,California,NA,NA,NA,NA,NA,NA,NA,1,0,0
1629,2020-06-01,Vallejo,California,NA,NA,NA,1,1,1,1,0,0,1
1630,2020-06-01,ValleyStream,NewYork,200,200,200,NA,NA,NA,NA,1,0,0
1631,2020-06-01,VanNuys,California,500,100,300,1,0,1,1,1,1,0
1632,2020-06-01,Victoria,Texas,NA,NA,NA,0,0,0,0,0,0,1
1633,2020-06-01,Vineland,NewJersey,75,75,75,NA,NA,NA,NA,1,0,0
1634,2020-06-01,Visalia,California,45,45,45,NA,NA,NA,NA,1,0,0
1635,2020-06-01,Walnut,California,100,100,100,0,0,0,0,1,1,0
1636,2020-06-01,WalnutCreek,California,200,100,150,1,0,0,1,1,1,0
1637,2020-06-01,Warren,Ohio,1000,1000,1000,0,0,0,0,1,1,0
1638,2020-06-01,Warren,Pennsylvania,NA,NA,NA,NA,NA,NA,NA,1,0,0
1639,2020-06-01,Washington,DistrictofColumbia,NA,NA,NA,1,1,1,1,1,1,1
1640,2020-06-01,Washington,Indiana,5,5,5,NA,NA,NA,NA,1,0,0
1641,2020-06-01,Waterloo,Iowa,NA,NA,NA,NA,NA,NA,NA,1,0,0
1642,2020-06-01,Waterville,Maine,100,100,100,NA,NA,NA,NA,1,0,0
1643,2020-06-01,Waukesha,Wisconsin,100,100,100,NA,NA,NA,NA,1,0,0
1644,2020-06-01,Waynesville,NorthCarolina,75,75,75,NA,NA,NA,NA,1,0,0
1645,2020-06-01,Wenatchee,Washington,300,300,300,0,0,0,0,0,1,0
1646,2020-06-01,WestChester,Pennsylvania,30,30,30,0,0,0,0,1,1,0
1647,2020-06-01,WestCovina,California,170,170,170,0,0,0,0,1,1,0
1648,2020-06-01,WestIslip,NewYork,100,100,100,0,0,0,0,0,1,1
1649,2020-06-01,Westland,Michigan,20,20,20,NA,NA,NA,NA,1,0,0
1650,2020-06-01,WestMelbourne,Florida,175,175,175,NA,NA,NA,NA,1,0,0
1651,2020-06-01,Whitefish,Montana,70,70,70,1,0,0,0,1,1,0
1652,2020-06-01,WhitePlains,NewYork,NA,NA,NA,NA,NA,NA,NA,1,0,0
1653,2020-06-01,Wichita,Kansas,100,100,100,NA,NA,NA,NA,1,0,0
1654,2020-06-01,WichitaFalls,Texas,400,400,400,NA,NA,NA,NA,1,0,0
1655,2020-06-01,Williamsburg,Virginia,100,100,100,NA,NA,NA,NA,1,0,0
1656,2020-06-01,Wilmington,NorthCarolina,100,100,100,NA,NA,NA,NA,1,0,0
1657,2020-06-01,Winston-Salem,NorthCarolina,100,100,100,NA,NA,NA,NA,1,0,0
1658,2020-06-01,Witchita,Kansas,NA,NA,NA,1,0,1,1,0,0,1
1659,2020-06-01,Woodbury,Minnesota,40,40,40,0,0,0,0,0,1,0
1660,2020-06-01,Worcester,Massachusetts,2200,400,1300,1,0,1,1,1,1,1
1661,2020-06-01,Yakima,Washington,200,100,150,0,0,0,0,1,1,0
1662,2020-06-01,Yonkers,NewYork,1000,1000,1000,0,0,0,0,0,1,0
1663,2020-06-01,York,Pennsylvania,1000,1000,1000,0,0,0,0,1,1,1
1664,2020-06-01,Yucaipa,California,NA,NA,NA,NA,NA,NA,NA,1,0,0
1665,2020-06-02,4SRanch,California,400,400,400,0,0,0,0,0,1,0
1666,2020-06-02,Aberdeen,SouthDakota,NA,NA,NA,NA,NA,NA,NA,1,0,0
1667,2020-06-02,Alamogordo,NewMexico,NA,NA,NA,NA,NA,NA,NA,1,0,0
1668,2020-06-02,Albany,Oregon,1000,1000,1000,0,0,0,0,1,1,0
1669,2020-06-02,AlbertLea,Minnesota,100,100,100,0,0,0,0,0,1,1
1670,2020-06-02,Alexandria,Louisiana,NA,NA,NA,0,0,0,0,1,1,0
1671,2020-06-02,Alexandria,Virginia,NA,NA,NA,0,0,0,0,0,1,0
1672,2020-06-02,Alfred,NewYork,NA,NA,NA,NA,NA,NA,NA,1,0,0
1673,2020-06-02,AlisoViejo,California,NA,NA,NA,0,0,0,0,0,1,0
1674,2020-06-02,Amesbury,Massachusetts,350,350,350,NA,NA,NA,NA,1,0,0
1675,2020-06-02,Anderson,SouthCarolina,30,30,30,NA,NA,NA,NA,1,0,0
1676,2020-06-02,Annapolis,Maryland,NA,NA,NA,NA,NA,NA,NA,1,0,0
1677,2020-06-02,AnnArbor,Michigan,NA,NA,NA,NA,NA,NA,NA,1,0,0
1678,2020-06-02,Arlington,Texas,200,200,200,0,0,0,0,1,1,1
1679,2020-06-02,Asheboro,NorthCarolina,150,150,150,NA,NA,NA,NA,1,0,0
1680,2020-06-02,Asheville,NorthCarolina,300,300,300,1,0,1,1,1,1,1
1681,2020-06-02,Ashland,Alabama,NA,NA,NA,0,0,0,0,0,1,0
1682,2020-06-02,Atlanta,Georgia,100,100,100,1,1,1,1,1,0,1
1683,2020-06-02,Augusta,Georgia,200,200,200,NA,NA,NA,NA,1,0,0
