date,state_col,trendline_completely_satisfied,trendline_mostly_satisfied,trendline_not_satisfied_at_all,trendline_not_very_satisfied,trendline_unsure,ci_low_completely_satisfied,ci_low_mostly_satisfied,ci_low_not_satisfied_at_all,ci_low_not_very_satisfied,ci_low_unsure,ci_high_completely_satisfied,ci_high_mostly_satisfied,ci_high_not_satisfied_at_all,ci_high_not_very_satisfied,ci_high_unsure
2020-05-06,Ohio,0.216473809277818,0.510202500258291,0.105563591280091,0.152934187416055,0.0148259117677446,0.137281743981816,0.395702035334229,0.0611116850914351,0.0929589833660502,0.00901436098770534,0.312428969934911,0.622120053724558,0.165874573819609,0.230679822295692,0.0231687157764232
2020-05-07,Ohio,0.210920549643558,0.512630437028619,0.105744395082137,0.155930364707098,0.0147742535385887,0.132296724868271,0.399008162000207,0.0613441471226366,0.0949994834177084,0.00898853187312739,0.306720735613183,0.62537452216138,0.16688190928815,0.235639012294659,0.0231428866618452
2020-05-08,Ohio,0.205356681646779,0.515031768169843,0.105945555039,0.15894416033886,0.0147218348055168,0.12730512939718,0.402267679115657,0.0615992561599256,0.0970091430342476,0.00893641200475231,0.300996952321917,0.628622346195568,0.167854744563252,0.240585774058577,0.0230900356423369
2020-05-09,Ohio,0.202959940078002,0.51550998269494,0.105974119895653,0.160730428493943,0.0148255288374616,0.125138827905055,0.403414520753157,0.0616783325154325,0.0985871839243743,0.00903995660820828,0.298396053413229,0.628819381666968,0.166748456750265,0.241805925045845,0.0233489164966294
2020-05-10,Ohio,0.200552714499716,0.515987396043184,0.105997210599721,0.162508394028617,0.0149542848287618,0.122966062296606,0.404514696007025,0.0617542228420889,0.100160132238235,0.00914303424763676,0.295779740689085,0.628983935120616,0.165607727671884,0.24303941319283,0.0236324190299086
2020-05-11,Ohio,0.205160657092675,0.505398284946792,0.107629920446327,0.166701105486104,0.0151100320281021,0.127130901952681,0.393816509970038,0.062764748424424,0.10179254055171,0.00916933567517306,0.300625064572786,0.618762268829425,0.16788924475669,0.249431759479285,0.0239177600991838
2020-05-12,Ohio,0.209773232088434,0.494756960586807,0.109277338705512,0.170902422645798,0.015290045973449,0.131308435353066,0.383051810527403,0.0637429619298518,0.103414432563666,0.00919468980835787,0.305439330543933,0.608450849733974,0.170153417015342,0.255798336690945,0.0242264579782013
2020-05-13,Ohio,0.203786450396467,0.496319446238087,0.114368365317561,0.170286954051192,0.015238783996694,0.1269984761216,0.384663067902988,0.0670764780329054,0.103907844099491,0.00919492729292042,0.297569543094765,0.609835472789731,0.177363948653046,0.254436035849885,0.0241495983676421
2020-05-14,Ohio,0.197768422140145,0.497869153085208,0.119482397913061,0.169667071312343,0.0152129555492419,0.122685125397112,0.386238603197562,0.0704083477542165,0.10439858460108,0.00922075574037245,0.289691866621897,0.611178552057236,0.184595913939613,0.253067128134928,0.0240979414727381
2020-05-15,Ohio,0.19033474532493,0.502608740572373,0.122507490443228,0.169438991631367,0.0151100320281021,0.117393325756793,0.390019630127079,0.0729155904535592,0.103523091228433,0.00911767744601715,0.280168405827048,0.615714433309226,0.188397561731584,0.253435272238868,0.0237627854117161
2020-05-16,Ohio,0.182891236407779,0.507348193300101,0.125552083064287,0.169176330810755,0.0150321564170778,0.112121290389235,0.393780509853553,0.0754190665599091,0.10261642172689,0.00903995660820828,0.270604643954852,0.620192680217992,0.192189477490508,0.253764496216133,0.0234005733915334
2020-05-17,Ohio,0.182348839011287,0.503060671023065,0.130433659632719,0.169073017020947,0.0150838133119818,0.111992148151975,0.390836066844022,0.0789575638608363,0.103158819123382,0.00901412816075626,0.27044967327014,0.61544024588682,0.199989668621019,0.252757186765504,0.0235555440762456
2020-05-18,Ohio,0.181780613167343,0.498773148746029,0.135341064648604,0.168943874783687,0.0151612986543379,0.111888834362166,0.387891623834491,0.0825218896092156,0.103701216519875,0.00898829971330423,0.270294702585428,0.610713640003099,0.20778985975153,0.251724048867423,0.0237363432084097
2020-05-19,Ohio,0.183769403621148,0.496241960895731,0.136064261177261,0.16873724720407,0.0151871271017899,0.113283570524576,0.384947180824961,0.0827543456362838,0.104346927706176,0.0090657850556603,0.272541777513754,0.608724849549294,0.208797169202159,0.251104166128574,0.0237363432084097
2020-05-20,Ohio,0.185732365627502,0.493710773045432,0.136813286153369,0.168530619624454,0.0152129555492419,0.114678306686985,0.38200273781543,0.0829609732159,0.104992638892476,0.00911744195056435,0.27478885244208,0.60676188754294,0.209804478652788,0.250458454942273,0.0237105147609577
2020-05-21,Ohio,0.180747475269261,0.504248779605858,0.134127127618359,0.165818632641992,0.0150579848645298,0.110313299067593,0.393444740036676,0.0808688689722861,0.102823049306506,0.00901412816075626,0.268770824185758,0.616809153601777,0.206369295141669,0.245990133533073,0.0234005733915334
2020-05-22,Ohio,0.175788413358473,0.514786786166284,0.131440969083348,0.163106645659529,0.0148771857323656,0.105922463000749,0.404886742257923,0.0787767647286722,0.100653459720536,0.00891081437094816,0.262752795929437,0.626856419660614,0.20293411163055,0.241521812123873,0.0230648035746571
2020-05-23,Ohio,0.175246015961981,0.514399359454503,0.132629077666141,0.162796704290105,0.0149288426272697,0.106309889712529,0.403078750936281,0.0800940155487254,0.100395175246016,0.00891081437094816,0.261693829583904,0.626184880026862,0.203838107291371,0.240230389751272,0.0232197742593693
2020-05-24,Ohio,0.174703618565488,0.514011932742723,0.133817186248935,0.162512591368133,0.0149546710747217,0.10669731642431,0.401244931167188,0.0814112663687786,0.100162719218948,0.00891081437094816,0.260609034790919,0.625487511945657,0.204742102952192,0.238938967378671,0.0233747449440814
2020-05-25,Ohio,0.173700795536729,0.510331645831181,0.135835313565451,0.165099700382271,0.0150325446843682,0.106235148259118,0.397871680958777,0.0832730653993181,0.101895857010022,0.00898853187312739,0.259892550883356,0.62121603471433,0.206297138134105,0.243723525157558,0.0235044942659366
2020-05-26,Ohio,0.172710367271037,0.506637739552663,0.137842863784286,0.167699777881089,0.0151092515109252,0.105790588356837,0.394467689446769,0.0851025362880314,0.103646882586911,0.00906555090655509,0.259181775918178,0.616870706131515,0.207810320781032,0.248514902629268,0.0236324190299086
2020-05-27,Ohio,0.174057907379187,0.502544102074024,0.137691453366738,0.170571066973164,0.0151354702068859,0.105999948343105,0.391146008213446,0.084019939561433,0.105483379394065,0.00909161350311233,0.260531549448563,0.61339979853811,0.207996487331147,0.253041299687476,0.0237105147609577
2020-05-28,Ohio,0.175396456428534,0.498450333178367,0.13755875820032,0.173433545121132,0.0151609070716463,0.106178005062245,0.387829949894106,0.0829330027377447,0.107314427398109,0.00909137868691564,0.261893692856036,0.609871377653804,0.20817190970608,0.257554625755463,0.0237615579317113
2020-05-29,Ohio,0.164893067465647,0.50516582291559,0.13609360471123,0.178840789337742,0.0150067155697903,0.0991063126356029,0.393687364397149,0.0827306539931811,0.11137514206013,0.00893687364397149,0.24772703791714,0.616334332059097,0.206581258394462,0.263921892757516,0.0236852980679822
2020-05-30,Ohio,0.154398470995403,0.511829123405135,0.134640219019578,0.184255385092205,0.0148768014876801,0.0920243814246604,0.399478278836717,0.0825197582519758,0.115398522650963,0.00880727310294953,0.233560617800506,0.622759440053722,0.204969264941371,0.270236065912495,0.023606591249548
2020-05-31,Ohio,0.151096417594338,0.514915928403544,0.13324896040499,0.185913164759666,0.0148255288374616,0.0889790014722215,0.402071441485652,0.0809463543146421,0.116537954903531,0.00875584368623602,0.23126791848542,0.625461683498205,0.20345068057959,0.273497430069479,0.0235297156287936
