date,state,completely_satisified,mostly_satisified,not_very_satisfied,not_satisfied_at_all,unsure,ci_low_completely_satisified,ci_low_mostly_satisified,ci_low_not_very_satisfied,ci_low_not_satisfied_at_all,ci_low_unsure,ci_high_completely_satisified,ci_high_mostly_satisified,ci_high_not_very_satisfied,ci_high_not_satisfied_at_all,ci_high_unsure
2020-06-12,Nebraska,0.11866143076660401,0.307836776506744,0.253201297592624,0.297934095953559,0.022366399180467,0.051442718115075003,0.18280689772921202,0.127010414888168,0.189226566501622,0.012019805361106,0.216151613453986,0.44886460645381504,0.41881509305105,0.422400546354789,0.037391155881850005
2020-06-13,Nebraska,0.11829976101058301,0.30761351997268604,0.25554796858996204,0.29600546261522703,0.022533287811539,0.050887674974393005,0.179788323659952,0.12779105496756502,0.18665073403892102,0.012000682826903001,0.216285421645612,0.4487879822465,0.42301126664390504,0.423352680095595,0.037555479685899
2020-06-14,Nebraska,0.12359166951177801,0.307101399795151,0.24632980539433202,0.300102424035507,0.022874701263229002,0.053653123933082005,0.177893479003072,0.12203823830658901,0.18912598156367302,0.012017753499487001,0.224137931034482,0.45100716968248505,0.41054967565722006,0.428815295322635,0.038409013315124
2020-06-15,Nebraska,0.129076318934608,0.306470889533891,0.23698138978999403,0.304251323203004,0.023220078538500003,0.05642820556598901,0.17601161003926902,0.116288202151272,0.19165101587843603,0.012053952535427001,0.23203004951340203,0.453303739115588,0.39832678845825503,0.43418132149564603,0.039269250469523
2020-06-16,Nebraska,0.130419938545578,0.306589279617616,0.23181973369750702,0.307954933424376,0.023216114714919002,0.057698873335609004,0.175520655513827,0.110839877091157,0.19522021167634,0.012086036189825,0.23455104131102703,0.45442130419938503,0.39416182997610105,0.4385455786958,0.039262546944349004
2020-06-17,Nebraska,0.13195629907818301,0.306589279617616,0.226527825196312,0.31171048139296603,0.023216114714919002,0.05896210310686201,0.175042676681461,0.105411403209286,0.198839194264254,0.012120177534994002,0.237111642198702,0.45561625128030003,0.390064868555821,0.442813246841925,0.039262546944349004
2020-06-18,Nebraska,0.131592421915002,0.30175797917733405,0.22580645161290303,0.31763099505034903,0.023212152244410002,0.05760368663594401,0.16929510155316602,0.10404505888376801,0.202133469875405,0.011981566820276,0.24116743471582103,0.452978323946065,0.39204642430448805,0.45195425840587106,0.039426523297491
2020-06-19,Nebraska,0.131251066734937,0.29680832906639304,0.225123741252773,0.323604710701484,0.023212152244410002,0.056255333674688004,0.16359447004608202,0.10269670592251201,0.20547875064004,0.011845024748250001,0.24509301928656702,0.45058883768561103,0.39392387779484506,0.46117084826762206,0.039767878477555
2020-06-20,Nebraska,0.128883578012973,0.299931717309662,0.22686923864800201,0.321099351314441,0.023216114714919002,0.054335950836462005,0.163246841925571,0.10266302492318201,0.201451007169682,0.011625128030044,0.24240355069989702,0.45681119836121503,0.39894161829976105,0.46107886650734003,0.039945373847729004
2020-06-21,Nebraska,0.12668601673211502,0.30322690797336505,0.228444596209663,0.318593136417961,0.023049342666894002,0.052415912583233006,0.16288202151271902,0.10262933242274201,0.19742188833874,0.011405156223322001,0.23954242786409402,0.463206419668772,0.40379033634966705,0.460986853337886,0.040122929827556005
2020-06-22,Nebraska,0.12668601673211502,0.30322690797336505,0.228444596209663,0.318593136417961,0.023049342666894002,0.052415912583233006,0.16288202151271902,0.10262933242274201,0.19742188833874,0.011405156223322001,0.23954242786409402,0.463206419668772,0.40379033634966705,0.460986853337886,0.040122929827556005
2020-02-25,Nevada,0.210097911997168,0.202901970036569,0.19275687153474103,0.34847233691164303,0.045770909519877,0.128819157720891,0.12164680901262201,0.11265777987495501,0.24457945027722003,0.028854547599386004,0.30777397664268,0.30930753804411903,0.30140379851362503,0.452754512209508,0.06783060044827101
2020-02-26,Nevada,0.212507374631268,0.20153392330383402,0.191504424778761,0.34902654867256605,0.045427728613569,0.131941002949852,0.12132153392330301,0.11283775811209401,0.24673746312684303,0.028849557522123002,0.30820058997050104,0.30572271386430605,0.298053097345132,0.451681415929203,0.06725663716814101
2020-02-27,Nevada,0.21498525073746302,0.2,0.190206489675516,0.349616519174041,0.045191740412979006,0.13503244837758102,0.12097935103244802,0.11299115044247701,0.24882595870206403,0.028849557522123002,0.30855457227138605,0.301946902654867,0.294631268436578,0.45061946902654804,0.066666666666666
2020-02-28,Nevada,0.21743747050495502,0.198560641812175,0.189004247286455,0.35016517225106103,0.044832468145351,0.13810759792354801,0.12062293534686101,0.11313119395941401,0.250884851344974,0.028834355828220002,0.308990089664936,0.298135913166588,0.291175082586125,0.449386503067484,0.065950920245398
2020-02-29,Nevada,0.22357243983010802,0.19490325625294902,0.18853232656913602,0.34886739027843305,0.044124587069372,0.14423076923076902,0.11757904672015101,0.11369749882019801,0.25126238791882904,0.028551203397829003,0.315007078810759,0.293062765455403,0.288579518640868,0.44761680037753604,0.06465313827277
2020-03-01,Nevada,0.22970740915526103,0.191245870693723,0.188178386031146,0.347569608305804,0.043298725814063,0.150353940537989,0.11454695611137301,0.114263803680981,0.251639924492685,0.02827984898537,0.321142048135913,0.28787163756488904,0.285983954695611,0.445965077866918,0.06335535630014101
2020-03-02,Nevada,0.232538933459178,0.18711656441717703,0.186408683341198,0.35122699386503003,0.042708824917413006,0.153881547899952,0.11236432279377001,0.11331996224634201,0.256311939594148,0.027937706465313003,0.32232184992921104,0.280910806984426,0.282562529495044,0.44867862199150504,0.062529495044832
2020-03-03,Nevada,0.235370457763095,0.18298725814063202,0.18475696083058002,0.35476639924492603,0.042118924020764004,0.15739735724398302,0.110193487494101,0.112376120811703,0.26097215667767804,0.027595563945257,0.32338367154318004,0.274067956583294,0.279141104294478,0.451392166116092,0.061585653610193004
2020-03-04,Nevada,0.23952802359882003,0.18064896755162202,0.178997050147492,0.35952802359882,0.041297935103244005,0.161935103244837,0.10889675516224101,0.10941592920353901,0.266053097345132,0.027044247787610002,0.32613569321533903,0.271622418879056,0.271386430678466,0.454395280235988,0.060294985250737
2020-03-05,Nevada,0.24362907031618602,0.17815007078810702,0.17331288343558202,0.364322793770646,0.040585181689476,0.166422840962718,0.10758612553091002,0.106418121755545,0.271071260028315,0.026474752241623004,0.328692779613025,0.26911278905143904,0.26356772062293504,0.45729117508258604,0.058990089664936005
2020-03-06,Nevada,0.241179941002949,0.18064896755162202,0.16814159292035402,0.370383480825958,0.039646017699115,0.16484955752212302,0.11045427728613501,0.103775811209439,0.27753392330383403,0.025781710914454,0.325781710914454,0.27044247787610604,0.25663716814159204,0.461474926253687,0.057581120943952006
2020-03-07,Nevada,0.23879188296366202,0.183105238319962,0.163048607833883,0.376356772062293,0.038697498820198004,0.16323737612081102,0.113308164228409,0.10110901368570001,0.283919301557338,0.025082586125530004,0.322675790467201,0.27159037281736603,0.24964605946201002,0.465667767815007,0.05615856536101901
2020-03-08,Nevada,0.22525073746312602,0.19362831858407,0.16047197640118,0.382772861356932,0.03787610619469,0.151103244837758,0.12152212389380501,0.099185840707964,0.289557522123893,0.024719764011799,0.308790560471976,0.283657817109144,0.24589970501474903,0.47292035398230003,0.054867256637168
2020-03-09,Nevada,0.211799410029498,0.204011799410029,0.157994100294985,0.38914454277286104,0.037050147492625,0.13894985250737402,0.129722713864306,0.097262536873156,0.295162241887905,0.024353982300884,0.294867256637168,0.29569321533923304,0.24224188790560403,0.48011799410029404,0.053687315634218004
2020-03-10,Nevada,0.20648967551622402,0.206843657817109,0.15834808259587002,0.39209439528023604,0.036224188790560004,0.13392330383480802,0.131445427728613,0.097109144542772,0.297687315634218,0.023964601769911,0.28884955752212305,0.299351032448377,0.24165191740412903,0.483893805309734,0.052507374631268006
2020-03-11,Nevada,0.201156205757432,0.209532798489853,0.158801321378008,0.39499764039641305,0.035512033978291,0.12888154789995201,0.133152430391694,0.09694431335535601,0.30017697026899404,0.023584237848041003,0.282916470033034,0.302855120339782,0.240915526191599,0.48773006134969304,0.051321378008494005
2020-03-12,Nevada,0.19952802359882002,0.204837758112094,0.15705014749262503,0.404247787610619,0.034336283185840005,0.128613569321533,0.128,0.094489675516224,0.30770501474926204,0.022926253687315,0.280943952802359,0.29734513274336205,0.23905604719764,0.498997050147492,0.049793510324483
2020-03-13,Nevada,0.19773478055686602,0.20021236432279302,0.15537989617744202,0.413402548371873,0.033270410571024,0.128315243039169,0.12281736668239701,0.092012741859367,0.315160453043888,0.022251061821613002,0.279023124115148,0.291647003303445,0.237140160453043,0.510028315243039,0.048253893345917
2020-03-14,Nevada,0.19242567248702203,0.20764511562057503,0.15844738084001803,0.40868334119867805,0.032798489853704,0.12372581406323702,0.12963662104766402,0.094325153374233,0.31045304388862605,0.021814535158093,0.273006134969325,0.300849457291175,0.242449268522888,0.504837187352524,0.047428032090608
2020-03-15,Nevada,0.18702064896755102,0.21510324483775803,0.16165191740412901,0.404011799410029,0.032212389380530004,0.11916224188790502,0.13646017699115,0.09664896755162201,0.305769911504424,0.021368731563421003,0.267020648967551,0.310088495575221,0.24778761061946902,0.49958702064896704,0.046725663716814005
2020-03-16,Nevada,0.18711656441717703,0.21873525247758302,0.16599811231713002,0.396649362907031,0.031500707881075,0.11920717319490301,0.138673902784332,0.09936290703161801,0.298395469561113,0.020953279848985002,0.26710712600283104,0.31429919773478004,0.25188768286927804,0.491977347805568,0.04577630957999
2020-03-17,Nevada,0.18711656441717703,0.222392638036809,0.170245398773006,0.38933459178857904,0.030910806984426,0.119254365266635,0.140903728173666,0.102088249174138,0.291057102406795,0.020540349221330002,0.26710712600283104,0.318546484190656,0.256134969325153,0.48454459650778603,0.044714487966021
2020-03-18,Nevada,0.18959414818310502,0.21932515337423303,0.172958942897593,0.38780084945729104,0.030320906087777003,0.121755545068428,0.13716375648890902,0.10390514393581801,0.290420009438414,0.020257196790939,0.27111845210004704,0.31524303916941904,0.260382255781028,0.484898537045776,0.044006606890042
2020-03-19,Nevada,0.192094395280236,0.21628318584070802,0.17569321533923302,0.38619469026548603,0.029734513274336002,0.124271386430678,0.13343952802359801,0.10572271386430601,0.289828908554572,0.019976401179941,0.275162241887905,0.311976401179941,0.264660766961652,0.48542772861356903,0.043185840707964
2020-03-20,Nevada,0.18629070316186802,0.21897121283624302,0.17767815007078802,0.38815478999528,0.028905143935818,0.11860547428032,0.13455639452571902,0.10694903256252901,0.29091552619159905,0.019336951392166003,0.26840490797546,0.316658801321378,0.266871165644171,0.487494100991033,0.042236904200094
2020-03-21,Nevada,0.180488380323227,0.221658605638787,0.17954465023003402,0.390114427273799,0.028193936534151,0.112940898902913,0.135672997522708,0.10817506193228701,0.292001887460186,0.018697652471393003,0.261531202076206,0.32134009673233405,0.26908104282175305,0.489442019582399,0.041288191577208005
2020-03-22,Nevada,0.175415831072313,0.222366403208682,0.17836498761354203,0.396484605402854,0.027368172702607003,0.109378317801108,0.13687625339153,0.107231331839094,0.29672053792615305,0.018202194172466,0.2552789902088,0.321576029255632,0.2694349416067,0.497227792851244,0.039872596437418
