Site,Date Range of Specimen Collection,Round,Catchment FIPS Code Description,Catchment Area Description,Catchment population,n [0-17 Years Prevalence],Rate (%) [0-17 Years Prevalence],Lower CI [0-17 Years Prevalence],Upper CI [0-17 Years Prevalence],CI Flag [0-17 Years Prevalence],n [18-49 Years Prevalence],Rate (%) [18-49 Years Prevalence],Lower CI [18-49 Years Prevalence],Upper CI [18-49 Years Prevalence],CI Flag [18-49 Years Prevalence],n [50-64 Years Prevalence],Rate (%) [50-64 Years Prevalence],Lower CI [50-64 Years Prevalence],Upper CI [50-64 Years Prevalence],CI Flag [50-64 Years Prevalence],n [65+ Years Prevalence],Rate (%) [65+ Years Prevalence],Lower CI [65+ Years Prevalence],Upper CI [65+ Years Prevalence],CI Flag [65+ Years Prevalence],n [Male Prevalence],Rate (%) [Male Prevalence],Lower CI [Male Prevalence],Upper CI [Male Prevalence],CI Flag [Male Prevalence],n [Female Prevalence],Rate (%) [Female Prevalence],Lower CI [Female Prevalence],Upper CI [Female Prevalence],CI Flag [Female Prevalence],n [Cumulative Prevalence],Rate (%) [Cumulative Prevalence],Lower CI [Cumulative Prevalence],Upper CI [Cumulative Prevalence],CI Flag [Cumulative Prevalence],Estimated cumulative infections count,Estimated cumulative infections lower CI 7,Estimated cumulative infections upper CI 7,All age-sex strata had at least one positive,Site Large CI Flag
NC,"Sep 23 -  Oct 2, 2020",5,Statewide,Statewide,10155624,214,10.2,5.89,15.16,0,238,7.8,3.91,11.95,0,241,3.4,1.1,6.22,0,239,2.8,0.82,5.49,0,396,7.3,4.32,10.88,0,536,6.1,3.63,8.7,0,932,6.7,4.74,8.89,0,680427,481377,902835,true,false
ND,"Sep 23 -  Oct 5, 2020",5,Statewide,Statewide,752201,2,777,,,,30,777,,,,19,777,,,,10,777,,,,22,777,,,,39,777,,,,61,777,,,,,,,false,
NE,"Sep 23 -  Oct 7, 2020",5,Statewide,Statewide,1904760,88,17.3,9,26.75,0,327,9.4,5.66,13.52,0,282,7.1,4.02,10.54,0,230,3.2,1.07,5.87,0,442,7.5,4.54,10.73,0,485,12.5,8.28,16.87,0,927,10,7.16,12.88,0,190476,136381,245333,true,false
NH,"Sep 25 -  Oct 1, 2020",5,Statewide,Statewide,1343622,45,777,,,,252,1.1,0,3.93,1,372,1.2,0.24,2.37,0,288,1.5,0.21,3.19,0,391,1.4,0.12,3.78,1,566,0.6,0.14,1.23,0,957,1,0.28,2.23,0,13436,3762,29963,false,true
NJ,"Sep 21 -  Oct 7, 2020",5,Statewide,Statewide,8881845,162,21.6,15.24,28.44,0,253,19.1,14.11,24.43,0,259,12.2,8.27,16.05,0,284,4.6,2.12,7.27,0,491,18.9,15.23,23.47,0,467,13.2,9.99,16.55,0,958,16,13.57,18.74,0,1421095,1205266,1664458,true,false
NM,"Sep 23 -  Oct 6, 2020",5,Statewide,Statewide,2092434,157,5.4,1.65,10.24,0,274,3.8,1.67,6.58,0,275,2.2,0.61,4.23,0,273,1.7,0,3.75,1,404,3.3,1.22,5.74,0,575,3.8,1.99,5.88,0,979,3.6,2.29,5.07,0,75328,47917,106086,true,true
NV,"Sep 23 - Sep 26, 2020",5,Statewide,Statewide,2922849,245,10,5.28,14.9,0,245,8.1,4.73,12.2,0,245,7.7,4.4,11.64,0,245,3.8,1.29,6.45,0,392,7.2,4.23,9.84,0,588,8.5,5.71,11.78,0,980,7.8,5.85,9.94,0,227982,170987,290531,true,false
NY,"Sep 20 -  Oct 7, 2020",5,Statewide,Statewide,19618453,188,15.3,10.34,20.96,0,211,27.7,21.13,34.81,0,196,23.5,17.24,29.32,0,227,18.4,12.12,24.24,0,368,22.3,17.66,27.1,0,454,23.2,18.66,28.57,0,822,22.8,19.2,26.54,0,4473007,3766743,5206737,true,false
OH,"Sep 23 -  Oct 8, 2020",5,Statewide,Statewide,11641879,144,2.5,0,5.51,1,270,3.5,1.26,5.98,0,274,1.6,0.31,3.26,0,288,0.5,0,1.45,1,412,2.3,0.68,4.12,0,564,2.5,0.97,4.12,0,976,2.4,1.26,3.64,0,279405,146688,423764,true,true
OK,"Sep 23 - Sep 29, 2020",5,Statewide,Statewide,3918137,235,7.9,4.35,12.49,0,248,5.6,2.64,9.65,0,244,2.6,0.7,4.95,0,252,5.3,2.4,9.15,0,366,5.7,2.91,8.72,0,613,5.5,3.51,7.79,0,979,5.6,3.78,7.36,0,219416,148106,288375,true,false
OR,"Sep 20 -  Oct 7, 2020",5,Statewide,Statewide,4081943,21,777,,,,369,1.2,0.29,2.7,0,249,2.1,0.55,4.52,0,333,0.9,0,2.03,1,421,4.5,0.74,10.99,1,551,0.5,0.11,1.02,0,972,2.5,0.57,5.68,1,102049,23267,231854,true,true
PA,"Sep 20 -  Oct 5, 2020",5,Statewide,Statewide,12791181,41,777,,,,736,13.4,10.84,15.82,0,291,7.5,4.55,10.92,0,187,2.2,0,4.95,1,866,15.8,12.27,19.85,0,389,5.8,2.16,11.1,0,1255,10.7,8.17,13.78,0,1368656,1045039,1762625,true,true
PR,"Sep 21 - Sep 28, 2020",5,Statewide,Statewide,3386941,245,1.3,0,3.17,1,245,3.9,1.26,7.1,0,245,3.8,1.34,7.56,0,245,3.1,1.03,6.17,0,386,4.3,2.01,7.06,0,594,2.2,0.96,3.64,0,980,3.2,1.88,4.71,0,108382,63674,159525,true,true
RI,"Sep 25 -  Oct 8, 2020",5,Statewide,Statewide,1056611,32,777,,,,317,3.9,1.78,6.34,0,263,4.7,2.24,7.71,0,252,2.9,0.82,5.37,0,350,2.5,0.96,4.39,0,514,5.8,3.09,9.31,0,864,4.2,2.57,6.27,0,44378,27155,66250,true,false
SC,"Sep 23 -  Oct 7, 2020",5,Statewide,Statewide,4955925,80,11.9,4.94,19.89,0,211,10.7,6.3,15.82,0,261,7.2,3.75,11.18,0,264,3.4,1.17,6.3,0,369,7,4.11,10.93,0,447,11,7.08,15.6,0,816,9.1,6.39,11.78,0,450989,316684,583808,true,false
SD,"Sep 22 -  Oct 4, 2020",5,Statewide,Statewide,864289,6,777,,,,29,777,,,,18,777,,,,19,777,,,,42,777,,,,30,777,,,,72,777,,,,,,,false,
TN,"Sep 23 -  Oct 7, 2020",5,Statewide,Statewide,6651089,240,13.3,8.87,18.78,0,245,11.1,6.49,16.05,0,241,4,1.56,7.35,0,250,3.9,1.48,6.59,0,433,9.2,6.16,12.92,0,543,9,5.72,12.15,0,976,9.1,6.83,11.4,0,605249,454269,758224,true,false
TX,"Sep 23 -  Oct 5, 2020",5,Statewide,Statewide,27885195,249,8.7,5.34,12.91,0,240,7.9,4.25,12.45,0,244,4.8,2.38,7.75,0,248,4.6,1.86,8.07,0,455,7.6,4.67,11.03,0,526,6.8,3.98,9.93,0,981,7.2,5.19,9.56,0,2007734,1447242,2665825,true,false
